Link,Node 1 Lat,Node 1 Lon,Node 2 Lat, Node 2 Lon
5202-5453,38.9564995,-94.7084805,38.9565029,-94.7073856
5453-5202,38.9566391,-94.7074719,38.9566418,-94.7086208
4979-4964,38.9419525,-94.7059279,38.9419562,-94.7043716
4964-4979,38.9420839,-94.7043682,38.9420836,-94.7059371
2520-2533,38.9347402,-94.7047758,38.9356113,-94.7047803
2538-2557,38.9356327,-94.7050735,38.934777,-94.7050803
210-220,38.9356764,-94.7054637,38.9346741,-94.7056982
153-319,38.938056,-94.705395,38.9356311,-94.7083987
152-153,38.9392986,-94.7053008,38.938056,-94.705394
220-222,38.9323431,-94.7062778,38.9314756,-94.7063404
153-190,38.938056,-94.705395,38.934848,-94.701716
11834-11775,38.9295071,-94.704757,38.9300219,-94.7047475
2519-5738,38.9300452,-94.7050781,38.9295436,-94.7050885
11873-11834,38.927167,-94.704752,38.9276437,-94.7047536
2519-5738,38.9276605,-94.7050966,38.9271599,-94.7050914
222-305,38.9278459,-94.7063661,38.9263645,-94.7060031
12030-11913,38.920178,-94.703578,38.920592,-94.703735
5738-5805,38.920563,-94.703961,38.9201804,-94.7038092
12043-11947,38.9203246,-94.7050277,38.9207494,-94.7050225
12095-12030,38.9126455,-94.6983316,38.913113,-94.6988037
11947-12043,38.9207494,-94.7050225,38.9203246,-94.7050277
5738-307,38.9208868,-94.7045324,38.91691,-94.7024464
5811-5870,38.9131173,-94.699109,38.9126498,-94.6986369
306-5805,38.9202182,-94.7045563,38.920426,-94.704661
306-307,38.920426,-94.704661,38.9202368,-94.7046487
305-306,38.9207573,-94.7047611,38.920472,-94.7046807
12229-12191,38.9049488,-94.6862603,38.9057186,-94.6862548
12191-12229,38.90575,-94.686309,38.9049578,-94.6863103
12221-14047,38.9007638,-94.6770353,38.9001153,-94.6771855
715-716,38.8910467,-94.6759171,38.8910467,-94.6771359
716-715,38.8910467,-94.6771359,38.8910467,-94.6759171
12564-12458,38.8843823,-94.6762396,38.8849387,-94.6762439
12564-12458,38.8835026,-94.6762354,38.8839694,-94.6762362
14051-14066,38.8849398,-94.6765564,38.8843824,-94.6765542
14051-14066,38.8839674,-94.6765495,38.8835003,-94.6765474
14061-12458,38.88465,-94.675274,38.8852331,-94.6757682
14052-14055,38.8838092,-94.6772739,38.8838104,-94.6778068
14055-14052,38.8836629,-94.6777961,38.8836652,-94.67726
12506-12547,38.8888495,-94.6677926,38.888361,-94.6677903
12547-12506,38.888361,-94.6677903,38.8888495,-94.6677926
11735-11706,38.9320526,-94.6673008,38.9321995,-94.6680561
2274-2331,38.9320102,-94.668065,38.9318549,-94.6672868
11522-11290,38.94211,-94.667367,38.942815,-94.667373
11290-11522,38.9428086,-94.6676402,38.9421004,-94.6676241
11506-11669,38.9393518,-94.6579911,38.938744,-94.658058
11669-11506,38.938744,-94.658058,38.9393518,-94.6579911
11786-11669,38.9303853,-94.6582372,38.9312279,-94.6582387
11669-11786,38.9312279,-94.6582387,38.9303853,-94.6582372
12286-12351,38.9004235,-94.6490878,38.8999731,-94.6490908
12351-12286,38.900424,-94.649265,38.9004235,-94.6490878
11739-11748,38.932094,-94.648925,38.9311704,-94.6489371
11748-11739,38.9311704,-94.6489371,38.932094,-94.648925
711-11497,38.9379821,-94.6396083,38.9384713,-94.6395985
11497-711,38.938472,-94.639733,38.937974,-94.639727
11694-11712,38.9330547,-94.6395341,38.9321197,-94.6395346
11712-11694,38.93213,-94.6396682,38.9330651,-94.6396778
12218-12149,38.9057289,-94.6398318,38.9063008,-94.6398264
12149-12218,38.9063008,-94.6398264,38.9057289,-94.6398318
12121-12103,38.9129212,-94.6329922,38.9129212,-94.6324933
12103-12121,38.9129212,-94.6324933,38.9129212,-94.6329922
11776-11835,38.9284047,-94.6218157,38.9276124,-94.6236307
11835-11776,38.9276124,-94.6236307,38.9284047,-94.6218157
11776-11835,38.9276124,-94.6236307,38.92758,-94.6242367
11835-11776,38.92758,-94.6242367,38.9276124,-94.6236307
11711-11707,38.9330505,-94.6299565,38.93305,-94.6305573
2719-11708,38.9328074,-94.6305275,38.9328019,-94.6299695
11640-11707,38.93584404,-94.61194138,38.9356621,-94.6125448
11625-11640,38.9359516,-94.6116249,38.935844,-94.61194
14794-14796,38.9354038,-94.6125943,38.9357025,-94.6116568
14794-11630,38.935156,-94.612608,38.93523,-94.61172
14797-11640,38.93721,-94.607741,38.9369315,-94.6084741
14796-14793,38.936702,-94.6084674,38.9369589,-94.6076809
11564-14792,38.939068,-94.608592,38.938266,-94.608346
14792-11564,38.938372,-94.608054,38.93916,-94.608289
14790-11573,38.94061082,-94.59641597,38.940433,-94.5970362
14788-14789,38.9402462,-94.5970412,38.940383,-94.596351
11575-653,38.940592,-94.582363,38.9406186,-94.5830277
14782-14779,38.940403,-94.583037,38.9403766,-94.5824108
914-11381,38.946322,-94.5824306,38.946003,-94.582442
11381-914,38.946003,-94.582442,38.946322,-94.5824306
11441-11381,38.9457401,-94.5824545,38.946003,-94.582443
11381-11441,38.946003,-94.582443,38.9457401,-94.5824545
658-11155,38.9540307,-94.5569688,38.954074,-94.5576478
11155-658,38.9539608,-94.5576258,38.9539145,-94.5569439
650-651,38.9395403,-94.5601905,38.939653,-94.5622236
649-11581,38.9394402,-94.5622075,38.9393359,-94.5601797
11883-11582,38.9307538,-94.5628403,38.9309433,-94.562783
11582-11883,38.9309433,-94.562783,38.9307538,-94.5628403
12918-347,38.857366,-94.5280421,38.8584538,-94.5278081
346-15249,38.8584829,-94.5279923,38.8573936,-94.5282284
119-12909,38.8574666,-94.5273371,38.8583263,-94.5271654
12909-119,38.8583263,-94.5271654,38.8574666,-94.5273371
112-12910,38.857687,-94.5288209,38.8583803,-94.5287167
12910-112,38.8583803,-94.5287167,38.857687,-94.5288209
12763-12767,38.8705498,-94.5268214,38.8705231,-94.5261282
12767-12763,38.8705231,-94.5261282,38.8705498,-94.5268214
12479-15257,38.8890838,-94.5253978,38.8890229,-94.5248712
12524-12528,38.8888852,-94.5254041,38.8888579,-94.5248744
12528-12524,38.8888579,-94.5248744,38.8888852,-94.5254041
15233-15223,38.8967453,-94.5245503,38.8972799,-94.5245126
15222-15232,38.8972795,-94.5247171,38.8967608,-94.5247389
15226-15228,38.9074065,-94.523459,38.907596,-94.5241738
12196-12188,38.9079792,-94.5241385,38.9084133,-94.5234787
12188-12196,38.9084133,-94.5234787,38.9079792,-94.5241385
12035-12033,38.9163321,-94.5263458,38.9163768,-94.5272882
12033-12035,38.9163768,-94.5272882,38.9163321,-94.5263458
11878-11853,38.9238802,-94.5275474,38.9248033,-94.5275303
14750-14756,38.9246612,-94.5278415,38.924552,-94.527844
14756-14755,38.92455159,-94.527845,38.923732,-94.527863
11853-14749,38.926467,-94.5271161,38.9271688,-94.5268074
14726-14747,38.9329767,-94.5240469,38.9305319,-94.5285708
14738-14740,38.9322437,-94.5295161,38.9313756,-94.5287161
14765-14724,38.93339,-94.530019,38.9325312,-94.5256984
14769-14765,38.934048,-94.5310472,38.93339,-94.53002
14762-14765,38.9339622,-94.5311337,38.93339,-94.53002
14726-14761,38.9330482,-94.5240576,38.9331503,-94.5284503
14725-11664,38.9334259,-94.5258021,38.935136,-94.530522
14728-11664,38.934275,-94.5282014,38.935136,-94.530522
11664-14706,38.9374719,-94.5334247,38.9392882,-94.5393422
14692-14700,38.9396752,-94.5382765,38.940248,-94.537494
14700-11410,38.940248,-94.537493,38.9413034,-94.5364905
14700-14702,38.940248,-94.537493,38.9413794,-94.5365267
14708-11592,38.943094,-94.535825,38.9404534,-94.5387178
11245-14708,38.9460962,-94.5342423,38.943094,-94.535824
11424-11410,38.9425916,-94.5355979,38.943633,-94.535233
14700-11410,38.9428052,-94.5356689,38.943633,-94.535233
11410-14712,38.943633,-94.535233,38.9458134,-94.5341119
11462-11512,38.946684,-94.534571,38.943056,-94.537071
11512-11578,38.943056,-94.537072,38.9423589,-94.5375732
11512-14704,38.943056,-94.537072,38.9424496,-94.537587
11512-14704,38.9418484,-94.5380995,38.9412466,-94.5386579
14691-14690,38.9535051,-94.5398312,38.9540778,-94.5399693
11157-11175,38.9540789,-94.5402105,38.9535037,-94.5400723
11140-11323,38.9544645,-94.550711,38.9540352,-94.5502533
11323-11140,38.9540352,-94.5502533,38.9544645,-94.550711
11155-869,38.9543457,-94.5612251,38.9544614,-94.5627883
869-11155,38.9543514,-94.5628046,38.9542351,-94.5612271
11155-869,38.9545146,-94.563506,38.954553,-94.5640252
869-11155,38.9544466,-94.5640615,38.9544056,-94.5635284
651-652,38.9398616,-94.5669711,38.9399117,-94.5680279
14779-649,38.9397156,-94.5680332,38.9396655,-94.5670194
11707-2676,38.933159,-94.6334004,38.9332091,-94.6343338
11707-11709,38.9330591,-94.6334164,38.9330538,-94.6343499
11718-2719,38.9328669,-94.6343606,38.9328628,-94.6333897
2702-2719,38.9327626,-94.6343606,38.9327501,-94.6333575
313-315,38.9348647,-94.6929618,38.9349157,-94.6937848
2655-326,38.9347245,-94.693804,38.9346772,-94.6929756
11678-314,38.9351483,-94.6938254,38.9351,-94.692707
313-14084,38.9353418,-94.6938951,38.9353123,-94.69252
14083-327,38.9345493,-94.6938524,38.9344883,-94.6930065
14104-190,38.9345688,-94.7023899,38.9347718,-94.7016278
11668-11505,38.9385503,-94.648933,38.9391669,-94.6489321
11505-11668,38.9391669,-94.6489321,38.9385503,-94.648933
11717-11835,38.9313379,-94.6298519,38.930802,-94.6294475
11835-11717,38.930802,-94.6294475,38.9313379,-94.6298519
12346-12351,38.8982318,-94.6549111,38.898231,-94.6544095
12351-12346,38.8983753,-94.6544096,38.8983717,-94.6549091
14468-11516,38.9418679,-94.6040993,38.941912,-94.6048498
11516-14468,38.941912,-94.6048498,38.9418679,-94.6040993
923-11533,38.9424789,-94.5965732,38.9417613,-94.5966108
11533-923,38.9417613,-94.5966108,38.9424789,-94.5965732
11875-11881,38.9252862,-94.574138,38.9255267,-94.569812
11881-11875,38.9255267,-94.569812,38.9252862,-94.574138
12515-12445,38.8894247,-94.581008,38.8893871,-94.5802221
12445-12515,38.8893871,-94.5802221,38.8894247,-94.581008
12687-12634,38.8762542,-94.5868332,38.8773525,-94.5867581
12634-12687,38.8773525,-94.5867581,38.8762542,-94.5868332
12693-12843,38.871681,-94.602528,38.869875,-94.601944
12843-12693,38.869933,-94.601632,38.87177,-94.602274
12843-12876,38.8698637,-94.6019575,38.867655,-94.601204
587-12843,38.867793,-94.600851,38.869956,-94.601627
109-107,38.86199,-94.585921,38.861835,-94.584998
12892-12881,38.8622102,-94.5849772,38.8623665,-94.5858641
11506-840,38.942093,-94.661644,38.94211,-94.662141
840-11506,38.942063,-94.662146,38.942059,-94.661635
11522-841,38.942016,-94.669455,38.94202,-94.670043
841-11522,38.94193,-94.670056,38.941913,-94.669468
11678-11494,38.936386,-94.686191,38.93706,-94.686186
11494-11678,38.937056,-94.686304,38.936346,-94.686307
663-711,38.935258,-94.63353,38.935811,-94.635002
711-663,38.935811,-94.635002,38.935258,-94.63353
915-916,38.953684,-94.571962,38.954508,-94.572606
916-915,38.954508,-94.572606,38.953684,-94.571962
914-915,38.94817,-94.58018,38.94817,-94.57902
915-914,38.94817,-94.57902,38.94817,-94.58018
14055-14066,38.88328,-94.67783,38.88294,-94.67765
841-702,38.941201,-94.671185,38.940662,-94.671185
702-841,38.940662,-94.671185,38.941201,-94.671185
