ObsType,SiteID,SiteUUID,DeviceID,DeviceUUID
STG,163,231d5696-bd3b-4d2b-993f-c23bb623e347,4,d29d0195-0a98-4542-8d28-b53df54c7909
STG,164,027b5d99-aba1-4588-94e6-0f04ebf019b9,4,13e4787a-0caf-4f4a-b9de-e39d27c0ff92
STG,157,2e7817c9-272b-45e7-8830-6428d12cbc4e,4,b0e0d54a-b944-4255-b0e3-bf98421cf177
STG,155,34a7e01c-395c-408c-a8d2-d2811ba1ab23,5,375e4c9a-8f4e-4a92-8499-f5c9fb02d701
STG,190,258058d2-2a67-43bf-95af-ad4a7e3383cc,3,b5c1dea2-2c33-49a1-8538-5a75c8bbda9a
STG,48,6ad62053-ca48-4b50-b2d8-809f921c8164,3,56a6cce2-7ce6-4082-b02d-a6487206eabf
TAIR,2,8f4c9f90-a67a-49be-a86a-c4fe4aed436e,7,4fe26c5f-f872-45c5-a37d-095e79c7079f
CONPVT,2,8f4c9f90-a67a-49be-a86a-c4fe4aed436e,4,c5caa9b4-b0cc-478d-ac47-ad9cefe0bc43
RH,2,8f4c9f90-a67a-49be-a86a-c4fe4aed436e,8,00fec645-34c9-4507-87eb-d5f0e6e4ec6f
TPVT,2,8f4c9f90-a67a-49be-a86a-c4fe4aed436e,6,af0800d2-6537-4ac1-8e0b-f5ebc11819c3
STG,9,3fe96411-b359-4598-bd33-3a67af8d3242,4,2157dbef-f663-4ea6-b2ab-07c50129ff0a
STG,10,fad65865-34ea-41f4-b552-69a9939e7dd9,10,c18bd40b-67d3-4488-9a7a-6dc95477a5a8
STG,185,58bcb815-6be3-460e-a614-dcd83d0a4e52,3,5ee2b872-8297-418f-b94b-98dc1855c69a
STG,179,c10a55f9-9cbb-40e6-a950-b6152388253b,3,30fa3a98-648f-426b-95f1-b621c11f59d3
STG,180,5e6a06cb-77fa-4a25-bd95-84db51088faa,3,4d771bba-ff3f-4f15-95d2-394135bf261d
TAIR,21,30341126-71b3-4bde-885b-cfb8fac9d54f,4,d56810f8-6add-401c-8852-27e53598a1b3
PRBAR,21,30341126-71b3-4bde-885b-cfb8fac9d54f,6,42fbff0e-e9b0-41d5-b606-5d665b42a8e5
RH,21,30341126-71b3-4bde-885b-cfb8fac9d54f,3,af4edad4-e665-41f9-9467-9801b5a13a67
STG,21,30341126-71b3-4bde-885b-cfb8fac9d54f,5,882078aa-f550-4e57-acd7-7e88a330aa6c
DIRWND,21,30341126-71b3-4bde-885b-cfb8fac9d54f,10,7bd05d0f-b59b-4d77-beb2-ec3a90db1f80
SPDWND,21,30341126-71b3-4bde-885b-cfb8fac9d54f,1,ec44f171-111c-441b-a084-e27f6471ce26
GSTWND,21,30341126-71b3-4bde-885b-cfb8fac9d54f,8,9dd002ab-cf58-4fd5-a40f-dde7258b3237
STG,16,83a50b0b-26ef-4cea-9376-92e121407874,2,3640f8fd-1a03-445d-aaac-00afe83ea342
STG,30,f2d82b3f-6add-4f81-8be5-61611e1f1beb,2,3a1f1f10-3de0-47a9-8eba-c41f29f71678
STG,139,d40c5f2e-09fe-4f86-a722-7bfb141f0574,4,a2e92c77-b5a0-411a-acd9-8947bd0b6475
STG,140,18f9afeb-ca7f-4260-844b-f01d0f5c1271,2,d927e2d2-6138-4a41-9748-8055bc128491
STG,141,f37c7c9a-25ed-4ddf-b16f-d58631804265,4,dd72cdb5-ab65-442a-8784-67f92b9c0b65
STG,192,6de2e0b4-ce66-4b8c-84cd-568001dc02d4,3,d5bb5a06-586f-4200-83ae-8ae75d75d1d9
STG,46,7a119766-9bdd-4acb-a777-97200ee8c73f,2,05e63221-70d9-4492-a775-72be0752cd20
TAIR,92,06b6c9de-1bb2-4b95-8238-c90011a982f0,4,3f9c265c-53ac-4d7d-b142-ea0e41e47c74
RH,92,06b6c9de-1bb2-4b95-8238-c90011a982f0,3,afa7f31e-f77f-4821-a05f-9c72874813bf
DIRWND,92,06b6c9de-1bb2-4b95-8238-c90011a982f0,11,54f5c36f-081b-4726-9030-a9af1a9fe657
SPDWND,92,06b6c9de-1bb2-4b95-8238-c90011a982f0,1,945f6a66-ec3a-4f99-ab40-93447417027a
GSTWND,92,06b6c9de-1bb2-4b95-8238-c90011a982f0,8,02c02758-f83d-4e79-b2f0-c74051b354ea
STG,91,2c366648-2217-4263-a9c0-7d1be3dcac17,2,eb73a226-aec7-48b1-b5ca-eece0b40a903
STG,94,c69b7b9d-477a-47f7-9c41-2837662e4cec,2,f108cc20-bda9-4a2d-963e-102501a36a23
STG,24,239d5f75-1ec9-4c83-8cf5-0d15a783304c,2,a615483a-5e3b-4283-90ce-c2c76f5cdc9c
STG,106,df8e2b91-db3c-4fec-8fda-5b70977b82c1,2,3b2e6110-af8d-4206-87e2-60edf41bd119
STPVT,132,3462ea93-7321-4585-89fa-d581d30a2a21,7,86bb8709-6408-45ad-9ba4-72d4df255f74
TPVT,132,3462ea93-7321-4585-89fa-d581d30a2a21,5,f8ca81e0-02f7-40d6-9773-9f07dc0b4a55
CONPVT,132,3462ea93-7321-4585-89fa-d581d30a2a21,6,c0c2d232-5349-487b-8b90-c4e5f92e0af0
STG,132,3462ea93-7321-4585-89fa-d581d30a2a21,3,876dd58b-2b07-428e-b42a-aa73932fad81
STG,43,70c72a6c-6890-4a65-be1e-9d6d6fc26a36,2,7fcece9c-549b-4d26-959b-3ff28373a069
STG,39,793c3698-6d60-4df8-85f0-89ddb8ad5fe5,2,513c53ea-790d-4c41-8a43-365cf1c63795
STG,37,1163bebf-8917-4f48-8d84-333ebf1a3fb4,2,89f719c0-8bca-4eff-a52f-1e97280db3dd
STG,34,8bcec69a-6436-4041-8868-a8107d787026,2,39330ebc-03e5-4e13-b1a5-9d666408e877
STG,194,039c28a4-99a8-426e-81c3-27d8594f8144,3,376e585d-b5ea-4b40-b9ee-8bacd39eb858
STG,31,8d41a32a-1bea-4d23-b223-a4a44d1830cb,2,ca1ae21a-b382-4e6a-b2ae-4f5a90565dc6
TAIR,275,d6e49f04-5672-442b-a437-448c92a7a4df,4,27cb9175-d7c0-4280-b1c8-7cda0a230f7a
CONPVT,275,d6e49f04-5672-442b-a437-448c92a7a4df,7,fc100089-36b7-4f82-a413-5e6b73fffe76
RH,275,d6e49f04-5672-442b-a437-448c92a7a4df,5,8c07eb14-1102-4d6c-b624-014e6ff16a90
STPVT,275,d6e49f04-5672-442b-a437-448c92a7a4df,9,d31a46dd-04c3-487d-af3a-86d83faba4e0
TPVT,275,d6e49f04-5672-442b-a437-448c92a7a4df,8,bfeb3926-dc51-493f-b719-cdb69b7a0220
STG,275,d6e49f04-5672-442b-a437-448c92a7a4df,6,5b9b8f8d-f63b-43c9-a3ba-a3b4cdbcf187
TAIR,276,a23529bb-f19f-439b-82df-c455da116ab0,7,d7e7a444-e01b-4106-a73e-6e25324ef038
CONPVT,276,a23529bb-f19f-439b-82df-c455da116ab0,4,3ace7ad7-b6a1-4f1a-b4b4-70fbd6ae7c40
RH,276,a23529bb-f19f-439b-82df-c455da116ab0,8,c9931aac-b882-4bd9-aad1-825a559737d4
STPVT,276,a23529bb-f19f-439b-82df-c455da116ab0,6,85e3f286-3785-4222-a259-2f39faf57aee
TPVT,276,a23529bb-f19f-439b-82df-c455da116ab0,5,80f3a4aa-46e6-4990-b46b-b0c75690c2d8
TAIR,79,ec7a3bf8-7b31-46aa-bcd0-5f9fb671461e,4,8ffba041-3b0c-40f5-9f1b-8ca876993ac7
PRBAR,79,ec7a3bf8-7b31-46aa-bcd0-5f9fb671461e,6,47a84d10-e816-4a5e-a021-584f57232b2c
RH,79,ec7a3bf8-7b31-46aa-bcd0-5f9fb671461e,3,a4c29f49-5255-4023-84de-79a67fb0890b
DIRWND,79,ec7a3bf8-7b31-46aa-bcd0-5f9fb671461e,13,5a41d2b0-64d0-4c93-9609-2fa0d771deb5
SPDWND,79,ec7a3bf8-7b31-46aa-bcd0-5f9fb671461e,1,1bca8a46-42f1-4f22-a1a4-6d3a5ffe94a2
GSTWND,79,ec7a3bf8-7b31-46aa-bcd0-5f9fb671461e,9,d1389a84-0098-4655-8afc-2e848b967f1c
CONPVT,82,b8607998-b3bf-4e1e-8132-91fcfa3eea81,6,fac63856-0f84-4997-87f5-43e453f4653e
STPVT,82,b8607998-b3bf-4e1e-8132-91fcfa3eea81,7,b57839e6-f784-4b83-8666-e5f84bfda890
TPVT,82,b8607998-b3bf-4e1e-8132-91fcfa3eea81,5,6af04267-4970-4d4a-919e-546ff4f89426
STG,82,b8607998-b3bf-4e1e-8132-91fcfa3eea81,2,78b477f0-1655-4518-8e09-10629bcf034e
STG,83,3a6c8235-0343-407b-85fb-654e6ccae439,2,64b7e073-7831-45fb-a5e9-1e869199386d
STG,85,1e8f2d00-6bca-4bc6-904d-2a609099f6d7,2,728fb93c-8ebb-4825-b456-06c0692c9aa5
STG,86,e87cedc6-2515-4b81-8154-2c967e476c92,2,aa83d6ec-2813-465f-ae6a-c143685bc15d
STG,117,dfbb17cc-21d2-45dd-97bb-54235b783df6,2,0384d1fd-c1f7-42ce-aceb-49430955180d
STG,118,75968fd7-b885-42f9-a15e-f359164aaa05,2,e67c2984-3843-4c8d-b36c-ce35a90c6e2d
TAIR,121,c2d3cba4-ba9f-4782-87f1-7c55f30a614a,4,4b86f1ec-c81d-4e18-a6f7-4a51bd4cd997
RH,121,c2d3cba4-ba9f-4782-87f1-7c55f30a614a,5,68f3bf9f-acb3-4e78-9c41-b9132e58d7f8
STG,56,58b49c20-8c93-4c3b-b762-e9a1bfbdc731,2,a942ffa7-18bc-4b10-8aa0-40cc73e130fa
STG,269,6dca6364-0807-4086-a5a2-57e210328369,4,74f60fd1-c2f1-4604-94ae-5978c7eb17f8
STG,50,111e6a56-5618-48e5-ab0a-6200efbf744e,2,373a612d-f058-4393-af9e-8beec1947a56
STG,165,84d0b6e1-4a4b-4871-9ae2-8f9de8c03abb,4,69378338-2805-45c3-a1c0-036fd10290b2
STG,174,16a044dd-c65d-4164-8585-140ddaa87386,3,ca13f2d1-1b83-4a96-abd7-b1c087d94f13
STG,147,b0a972b3-157d-4177-8069-0242bc70c2e8,2,9f7640ff-7156-45f7-8e18-c40179cfd729
STG,162,721f72ed-694a-4ee2-87fc-39e182057123,4,59a5d91b-fb12-4c91-94c0-513e83f00812
STG,149,b14f7095-f9f7-46f6-aa8e-919ed18d00d5,4,372f4c87-3c53-4022-bba6-89d6dac6ea4d
TAIR,59,101ce0fd-dc55-48d1-b132-cdb5502ed551,7,3630f9ac-06e1-4fe1-beac-137e4636d8bd
TAIR,59,101ce0fd-dc55-48d1-b132-cdb5502ed551,8,89cf281c-8696-460b-9043-c5ff0ce73fad
RH,59,101ce0fd-dc55-48d1-b132-cdb5502ed551,9,029c8a49-0a4c-4c21-9a52-7f1117337d6e
STG,60,ebb8e8c0-4852-494c-b6fd-118ab6502ef4,2,21a1d82a-6d90-4b53-9a11-3f23dee42d65
STPVT,274,6ee54332-1aee-4eaf-9250-63e51b99fb6e,6,e84cfdf0-39f6-4e69-a112-7c1dc2264166
TPVT,274,6ee54332-1aee-4eaf-9250-63e51b99fb6e,7,2b7f1383-2fe5-44e0-81df-b32274526102
CONPVT,274,6ee54332-1aee-4eaf-9250-63e51b99fb6e,3,ceebda82-d690-45f6-a068-375c255653a7
STG,274,6ee54332-1aee-4eaf-9250-63e51b99fb6e,2,aca3e3df-b0ee-40e5-b58e-606ddb2610d9
TAIR,70,a29716a2-6e79-4616-bca5-2c3fe4408f46,5,fa6aeda2-0d07-4628-8480-67cfd883c9bf
PRBAR,70,a29716a2-6e79-4616-bca5-2c3fe4408f46,7,7b0a34ac-343a-43ef-83c2-944a3e0e5534
RH,70,a29716a2-6e79-4616-bca5-2c3fe4408f46,4,b0f48492-84d7-447c-9d2e-39fdc95c53a8
DIRWND,70,a29716a2-6e79-4616-bca5-2c3fe4408f46,12,cb05b44c-28b1-4ced-b909-fe18447cefbb
SPDWND,70,a29716a2-6e79-4616-bca5-2c3fe4408f46,2,49f7819d-3200-4af4-980c-fa80583f28f1
GSTWND,70,a29716a2-6e79-4616-bca5-2c3fe4408f46,1,c0411f08-7414-4fc4-a733-3c56a0a08b4e
STG,72,726c7eff-6dd7-420a-b494-eb15255be8b4,2,822e2600-8d9e-429f-8659-e9c5fc4cbe3b
STG,71,8b0b7051-1943-4d32-8878-15a77aecb701,4,b7154860-3d84-4e84-a1a7-8f6a2c8cf911
STG,69,a1340b8a-fb73-451a-bcf8-c6309e20feed,4,b1f53541-8412-4f71-b32c-1ba3eb564c0e
STG,1582,1ec17411-0592-4439-8ca3-262cc9424a17,2,1403b4b9-0f4b-4c68-92d3-acfe6364676c
STG,66,1b76f428-a353-4970-85f3-c115a3851c84,5,a72d5b08-f07a-42a6-ac1f-8697c586d11d
STG,263,67645365-7845-4119-911a-aebac7ef8d78,3,8ae49de7-072b-4bf5-a0a4-947769ba0e7e
TAIR,65,3ab3528f-b3d2-43d0-9a91-9066976aad18,4,f3ff17e3-1b47-45bd-918b-f8bb07c78320
PRBAR,65,3ab3528f-b3d2-43d0-9a91-9066976aad18,6,42a5835f-1c7b-4ff4-98f3-7d7286887689
RH,65,3ab3528f-b3d2-43d0-9a91-9066976aad18,3,6d86bc68-2e2b-4a74-8c98-14fa8644bbba
STG,65,3ab3528f-b3d2-43d0-9a91-9066976aad18,5,592dd22d-aa2d-49c9-97ba-1c4703379918
DIRWND,65,3ab3528f-b3d2-43d0-9a91-9066976aad18,11,7b90b8c0-613e-458d-8b64-cf1c45a570c5
SPDWND,65,3ab3528f-b3d2-43d0-9a91-9066976aad18,1,f7fdd931-9229-4a1b-93f4-6b84ea580743
GSTWND,65,3ab3528f-b3d2-43d0-9a91-9066976aad18,8,78071d81-8ce5-4c83-9d28-eeeef066c2ad
STG,271,3deb810f-8147-4fa1-acb8-991dd3e5cfcf,3,a8063ea3-040e-46a2-9d05-838d3570b976
STG,15,49dd4d7f-2dab-42de-97c7-baf5b2debf1e,2,8795ccbe-99f4-425c-b6a9-896c2880dd09
CONPVT,22,7929a6b8-d0ef-48aa-a197-bd7ca035bd09,5,20b40c1f-3e9c-4c84-a09c-a77340195b63
STPVT,22,7929a6b8-d0ef-48aa-a197-bd7ca035bd09,7,49cb3a8a-0c7c-449c-b126-66c8ef771f34
TPVT,22,7929a6b8-d0ef-48aa-a197-bd7ca035bd09,6,914b84de-5745-4833-bfa7-f86fee7451a7
STG,22,7929a6b8-d0ef-48aa-a197-bd7ca035bd09,2,d0d6d0c8-0c4f-44aa-afb8-5cc32b4f8a8f
STG,184,3b92a607-820c-4f88-896f-5d74637ef085,3,9f6a49d2-eb5a-488d-9021-cf3d99a76158
STG,14,cb0d6f9f-a70f-4bb8-a553-f2df708bd56c,2,61a75785-fac6-49f8-aa0a-70d7738d8cf9
TAIR,123,9b0008e5-163b-43cd-b4e3-2da9e9104dfc,4,ea70ece9-e9f6-428c-aa30-0865304caf46
PRBAR,123,9b0008e5-163b-43cd-b4e3-2da9e9104dfc,5,975147bc-d330-4596-bfad-882007e3833b
RH,123,9b0008e5-163b-43cd-b4e3-2da9e9104dfc,3,27e924cf-6eb1-464d-af22-39115bffb6c4
DIRWND,123,9b0008e5-163b-43cd-b4e3-2da9e9104dfc,10,02d84a5c-d848-40cd-abd9-a5486e56960b
SPDWND,123,9b0008e5-163b-43cd-b4e3-2da9e9104dfc,1,776b1985-4f50-4308-9046-94125c930c44
GSTWND,123,9b0008e5-163b-43cd-b4e3-2da9e9104dfc,7,0a48d46b-261b-47d6-82be-c6748d5356b7
STPVT,124,a32d451f-1958-4fdd-9796-3ccf462f9c31,6,cc0258c5-ca71-4e34-9e88-ab01ba130ca4
TPVT,124,a32d451f-1958-4fdd-9796-3ccf462f9c31,7,1229d357-dcdb-41ed-b180-0a477ed10f4a
CONPVT,124,a32d451f-1958-4fdd-9796-3ccf462f9c31,5,d423413b-c56d-4a79-ada5-1445e85b3090
STG,124,a32d451f-1958-4fdd-9796-3ccf462f9c31,2,586bfb52-db69-4074-acff-65beb182246f
TAIR,80,1c1b244a-1d7d-4999-86eb-5e1c8c27160d,6,fd64b23b-89b4-4fa7-bfef-d11271a43b79
CONPVT,80,1c1b244a-1d7d-4999-86eb-5e1c8c27160d,5,84ce0d39-1fec-471e-96b4-f546abe34728
RH,80,1c1b244a-1d7d-4999-86eb-5e1c8c27160d,9,2021941a-46a7-4432-9c36-9e7956119a77
